,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,libertinus-font,"provides sans and serif fonts."
,libqalculate,"is used for a dropdown calculator."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,arandr,"allows the user to customize monitor arrangements."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,swaybg,"sets the wallpaper on wayland."
,ffmpeg,"can record and splice video and audio on the command line."
A,gruvbox-dark-gtk,"Installs the gtk theme used by the WM."
A,gruvbox-dark-icons-gtk,"Installs the gtk icon theme used by the WM."
,python-qdarkstyle,"provides a dark Qt theme."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,man-pages,"lets you read the linux and posix man pages."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,pipewire,"is the audio system."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,wireplumber,"is the plumber of the wires"
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
,flameshot,"can take screenshots."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,fzf,"is a fuzzy finder tool."
,bat,"can highlight code output and display files."
,xorg-xbacklight,"enables changing screen brightness levels."
,xorg-xsetroot,"enables changing the appearance of the root window"
,light,"enables changing screen brightness levels"
,zsh-syntax-highlighting,"provides syntax highlighting in the shell."
A,zsh-you-should-use,"gives suggestions to use other programs"
A,command-not-found,"gives suggestions when program is not found"
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
A,htop,"is a graphical and colorful system monitor."
,bspwm,"is the window manager"
,hyprland,"is the wayland window manager"
,sxhkd,"manages hotkeys for the window manager"
A,polybar-git,"is the status bar for the window manager"
A,waybar-hyprland-git,"is the status bar for the wayland window manager"
,betterlockscreen,"allows you to lock your computer, and quickly unlock with your password."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,moreutils,"is a collection of useful unix tools."
,go,"the go compiler"
,alacritty,"is a terminal emulator"
A,picom-git,"is the compositor"
,rofi,"is a dmenu alternative to allow selection of multiple items"
,acpi,"is a tool for reading information about battery in a laptop"
,tlp,"is a tool to reduce load for laptop batteries"
,rofi-emoji,"adds an emoji menu to rofi"
